sample_number,window_start,success,prediction,target_scaled,prediction_abs_error_scaled,baseline_prediction,output_difference,gradient_l2,gradient_max_abs,gradient_mean_abs,early_gradient_mean,recent_gradient_mean,early_recent_gradient_ratio,ig_sum,captum_delta,ig_max_abs,absolute_completeness_error,normalized_completeness_error,error
55,113765,True,0.2624713182449341,0.380499005317688,0.1180276870727539,0.14732897281646729,0.1151423454284668,1424973627392.0,637419585536.0,6271117824.0,345721143296.0,3.5913162231445312,96265859594.31024,-1920609516781568.0,-1920609516781568.0,1286691000156160.0,1920609516781568.0,1.6680305665287002e+16,
56,115834,True,0.03491474688053131,0.1116286963224411,0.07671394944190979,0.14732897281646729,-0.11241422593593597,25870662.0,8478785.0,178488.859375,6148613.5,0.321176677942276,19144022.34742919,-5340758278144.0,-5340758278144.0,2219522916352.0,5340758278143.888,47509629974590.91,
57,117902,True,0.12789876759052277,0.3326267600059509,0.20472799241542816,0.14732897281646729,-0.01943020522594452,269211189248.0,80297730048.0,1478605312.0,79307776000.0,1.177773118019104,67337057355.65412,-23020030656512.0,-23020030656512.0,20402669617152.0,23020030656511.98,1184754890009567.8,
58,119970,True,0.03755822777748108,0.09914204478263855,0.06158381700515747,0.14732897281646729,-0.1097707450389862,1.1265195632492544e+16,9075277707608064.0,28220017606656.0,1740623140880384.0,0.19821719825267792,8781393119387753.0,-3.605565344946586e+16,-3.605565344946586e+16,8798567460241408.0,3.605565344946586e+16,3.284632297642861e+17,
59,122039,True,0.03551280498504639,0.3257100284099579,0.2901972234249115,0.14732897281646729,-0.1118161678314209,106420766769152.0,40858040664064.0,687337504768.0,23131664154624.0,0.43719300627708435,52909501804710.03,-4415223427497984.0,-4415223427497984.0,1706996902395904.0,4415223427497984.0,3.948644916999022e+16,
60,124107,True,0.0831843689084053,0.08439329266548157,0.0012089237570762634,0.14732897281646729,-0.06414460390806198,31999381209088.0,26226796265472.0,94098350080.0,6131975454720.0,0.18342077732086182,33431193261127.7,-4.623107521878426e+16,-4.623107521878426e+16,1.0198438499057664e+16,4.623107521878426e+16,7.20732102178481e+17,
61,126176,True,0.24228757619857788,0.3186753988265991,0.07638782262802124,0.14732897281646729,0.0949586033821106,150371729408.0,100929536000.0,764951360.0,32923242496.0,0.670287549495697,49118087484.64804,-9679980111855616.0,-9679980111855616.0,4.259184634966835e+16,9679980111855616.0,1.019389477834012e+17,
62,128244,True,0.17139261960983276,0.24381649494171143,0.07242387533187866,0.14732897281646729,0.02406364679336548,4.018766539128832e+16,1.6002733538541568e+16,245829348622336.0,1.0830690971025408e+16,3.7942206859588623,2854523199218791.0,4361276222341120.0,4361276222341120.0,813209778913280.0,4361276222341120.0,1.8123920532952288e+17,
63,130313,True,0.03333716094493866,0.08688829839229584,0.05355113744735718,0.14732897281646729,-0.11399181187152863,0.4065239131450653,0.1420316994190216,0.004187624901533127,0.006332067307084799,0.10376396030187607,0.06102376286201091,-125472797097984.0,-125472797097984.0,31293167370240.0,125472797097983.89,1100717630826799.0,
64,132381,True,0.04432663321495056,0.18740087747573853,0.14307424426078796,0.14732897281646729,-0.10300233960151672,181447952.0,47644152.0,1571454.125,40241884.0,0.1450718194246292,277392840.04022104,1.161338755743744e+16,1.161338755743744e+16,9211799685562368.0,1.161338755743744e+16,1.1274877446719358e+17,
65,134450,True,0.06690005958080292,0.0612327866256237,0.0056672729551792145,0.14732897281646729,-0.08042891323566437,25092.5546875,8664.2939453125,161.38941955566406,5701.50537109375,0.21618807315826416,26372.895080663704,-399458902736896.0,-399458902736896.0,211053820510208.0,399458902736895.94,4966608234049821.0,
66,136518,True,0.38774406909942627,0.3322836756706238,0.05546039342880249,0.14732897281646729,0.24041509628295898,124207560130560.0,95808900825088.0,458070360064.0,25903222489088.0,5.841122627258301,4434630830759.741,-1.1364761564348416e+16,-1.1364761564348416e+16,6683789451329536.0,1.1364761564348416e+16,4.727141406679917e+16,
67,138587,True,0.2003282755613327,0.3387543261051178,0.1384260505437851,0.14732897281646729,0.05299930274486542,107132116992.0,51885981696.0,375671680.0,23314397184.0,0.10189983993768692,228797191421.0764,-443082852007936.0,-443082852007936.0,246660559011840.0,443082852007936.06,8360163795598271.0,
68,140655,True,0.3201213479042053,0.33841627836227417,0.018294930458068848,0.14732897281646729,0.17279237508773804,331806658265088.0,256213656797184.0,1270288220160.0,74271409831936.0,1.0378960371017456,71559585138540.34,-1.3352669353187738e+17,-1.3352669353187738e+17,1.3311271022415053e+17,1.3352669353187738e+17,7.72758019347233e+17,
69,142724,True,0.30713802576065063,0.53363037109375,0.22649234533309937,0.14732897281646729,0.15980905294418335,2292416782532608.0,1843681552236544.0,6687681937408.0,428114689654784.0,0.5275418758392334,811527405239106.5,1516281027100672.0,1516281027100672.0,1375487704170496.0,1516281027100671.8,9488079674815272.0,
70,144792,True,0.30006301403045654,0.40882471203804016,0.10876169800758362,0.14732897281646729,0.15273404121398926,20551405928448.0,12499185303552.0,95846432768.0,4739349086208.0,2.875124454498291,1648397890669.7505,16903140540416.0,16903140540416.0,10782563631104.0,16903140540415.848,110670420332968.83,
71,146860,True,0.1766798347234726,0.598094642162323,0.4214148074388504,0.14732897281646729,0.02935086190700531,67282751455232.0,41380541890560.0,158997544960.0,10517531852800.0,0.7278251647949219,14450629576353.695,4.460454447499182e+17,4.460454447499182e+17,3.364275027150111e+17,4.460454447499182e+17,1.5197013503315943e+19,
72,148929,True,0.059180401265621185,0.09183351695537567,0.032653115689754486,0.14732897281646729,-0.0881485715508461,9818127.0,7012261.0,37755.45703125,2349901.5,0.03241322562098503,72498230.42846505,-12193730920448.0,-12193730920448.0,2872787337216.0,12193730920447.912,138331577083764.3,
73,150997,True,0.3285370469093323,0.4398529529571533,0.11131590604782104,0.14732897281646729,0.181208074092865,1273060917248.0,1043691732992.0,5278834688.0,209804378112.0,0.4164551794528961,503786213891.30853,-1.7590002053545984e+16,-1.7590002053545984e+16,4.331913463673651e+16,1.7590002053545984e+16,9.707074114387662e+16,
74,153066,True,-0.0029986798763275146,0.11221399903297424,0.11521267890930176,0.14732897281646729,-0.1503276526927948,229490.59375,113887.046875,1508.871826171875,27069.341796875,0.32430097460746765,83469.81327959191,3198065397727232.0,3198065397727232.0,648626095259648.0,3198065397727232.0,2.1273966169360944e+16,
75,155134,True,0.17001847922801971,0.46074190735816956,0.29072342813014984,0.14732897281646729,0.02268950641155243,5284722900992.0,1850739785728.0,28640270336.0,1561754730496.0,0.21386995911598206,7302356707559.184,-7.483552734537318e+16,-7.483552734537318e+16,7.115861443320218e+16,7.483552734537318e+16,3.298243954040896e+18,
76,157203,True,0.09714998304843903,0.3966705799102783,0.2995205968618393,0.14732897281646729,-0.05017898976802826,4404142080.0,2431085056.0,27992884.0,1058492608.0,0.36296388506889343,2916247735.7742896,-4.978204680493466e+16,-4.978204680493466e+16,4.165096933897011e+16,4.978204680493466e+16,9.920894588368416e+17,
77,159271,True,0.1373477429151535,0.34010374546051025,0.20275600254535675,0.14732897281646729,-0.009981229901313782,46019148513280.0,23581920591872.0,180281540608.0,10983865057280.0,0.6811092495918274,16126436491447.4,-29133377634304.0,-29133377634304.0,8483425484800.0,29133377634303.99,2918816410345431.0,
78,161340,True,0.20725829899311066,0.6439555883407593,0.4366972893476486,0.14732897281646729,0.05992932617664337,169453002162176.0,99816113700864.0,866100510720.0,41437919969280.0,0.5919108986854553,70007023120046.21,-505534025302016.0,-505534025302016.0,297817528598528.0,505534025302016.06,8435503242661278.0,
79,163408,True,0.10677852481603622,0.06321322917938232,0.0435652956366539,0.14732897281646729,-0.04055044800043106,12112373760.0,5042463744.0,66276416.0,3454808576.0,0.34406647086143494,10041107950.3046,335091469385728.0,335091469385728.0,64330733191168.0,335091469385728.06,8263570093575844.0,
